"  22/04/19
  To
  26/04/19",,,,,,,,,,,,,,,,,"  2
  4
  0",67,"  3
  5
  9",,,,,,,,,,,,
"  29/04/19
  To
  03/05/19",,,,,,,,,,,,,,,,,"  1
  2
  9",27,"  4
  5
  8",,,,,,,,,,,,
"  06/05/19
  To
  10/05/19",,,,,,,,,,,,,,,,,"  2
  3
  6",16,"  4
  5
  7",,,,,,,,,,,,
"  13/05/19
  To
  17/05/19",,,,,,,,,,,,,,,,,"  4
  4
  8",67,"  2
  6
  9",,,,,,,,,,,,
"  20/05/19
  To
  24/05/19",,,,,,,,,,,,,,,,,"  4
  4
  5",38,"  5
  6
  7",,,,,,,,,,,,
"  27/05/19
  To
  31/05/19",,,,,,,,,,,,,,,,,"  3
  6
  7",60,"  6
  6
  8",,,,,,,,,,,,
"  03/06/19
  To
  07/06/19",,,,,,,,,,,,,,,,,"  1
  8
  8",78,"  3
  7
  8",,,,,,,,,,,,
"  10/06/19
  To
  14/06/19",,,,,,,,,,,,,,,,,"  2
  2
  0",42,"  2
  4
  6",,,,,,,,,,,,
"  17/06/19
  To
  21/06/19",,,,,,,,,,,,,,,,,"  3
  4
  6",34,"  2
  5
  7",,,,,,,,,,,,
"  24/06/19
  To
  28/06/19",,,,,,,,,,,,,,,,,"  1
  1
  5",72,"  1
  5
  6",,,,,,,,,,,,
"  01/07/19
  To
  05/07/19",,,,,,,,,,,,,,,,,"  2
  8
  8",89,"  1
  2
  6",,,,,,,,,,,,
"  08/07/19
  To
  12/07/19",,,,,,,,,,,,,,,,,"  2
  5
  6",38,"  1
  7
  0",,,,,,,,,,,,
"  15/07/19
  To
  19/07/19",,,,,,,,,,,,,,,,,"  1
  4
  6",11,"  2
  9
  0",,,,,,,,,,,,
"  22/07/19
  To
  26/07/19",,,,,,,,,,,,,,,,,"  1
  2
  5",85,"  2
  5
  8",,,,,,,,,,,,
"  29/07/19
  To
  02/08/19",,,,,,,,,,,,,,,,,"  3
  8
  8",94,"  2
  5
  7",,,,,,,,,,,,
"  05/08/19
  To
  09/08/19",,,,,,,,,,,,,,,,,"  5
  8
  0",37,"  5
  6
  6",,,,,,,,,,,,
"  12/08/19
  To
  16/08/19",,,,,,,,,,,,,,,,,"  2
  5
  8",51,"  4
  8
  9",,,,,,,,,,,,
"  19/08/19
  To
  23/08/19",,,,,,,,,,,,,,,,,"  2
  4
  5",11,"  4
  7
  0",,,,,,,,,,,,
"  26/08/19
  To
  30/08/19",,,,,,,,,,,,,,,,,"  5
  5
  9",97,"  4
  6
  7",,,,,,,,,,,,
"  02/09/19
  To
  06/09/19",,,,,,,,,,,,,,,,,"  3
  7
  8",85,"  2
  3
  0",,,,,,,,,,,,
"  09/09/19
  To
  13/09/19",,,,,,,,,,,,,,,,,"  1
  4
  0",53,"  2
  5
  6",,,,,,,,,,,,
"  16/09/19
  To
  20/09/19",,,,,,,,,,,,,,,,,"  2
  3
  5",3,"  1
  4
  8",,,,,,,,,,,,
"  23/09/19
  To
  27/09/19",,,,,,,,,,,,,,,,,"  4
  8
  9",15,"  4
  4
  7",,,,,,,,,,,,
"  30/09/19
  To
  04/10/19",,,,,,,,,,,,,,,,,"  4
  8
  8",5,"  1
  4
  0",,,,,,,,,,,,
"  07/10/19
  To
  11/10/19",,,,,,,,,,,,,,,,,"  1
  6
  8",52,"  2
  3
  7",,,,,,,,,,,,
"  14/10/19
  To
  18/10/19",,,,,,,,,,,,,,,,,"  2
  9
  9",6,"  1
  6
  9",,,,,,,,,,,,
"  21/10/19
  To
  25/10/19",,,,,,,,,,,,,,,,,"  1
  3
  7",17,"  3
  5
  9",,,,,,,,,,,,
"  28/10/19
  To
  01/11/19",,,,,,,,,,,,,,,,,"  6
  9
  9",40,"  3
  8
  9",,,,,,,,,,,,
"  04/11/19
  To
  08/11/19","  5
  6
  0",14,"  7
  8
  9","  1
  1
  3",56,"  2
  4
  0","  5
  8
  8",14,"  3
  4
  7","  6
  8
  0",43,"  6
  7
  0","  3
  4
  9",61,"  3
  8
  0",,"  3
  8
  0",17,"  1
  1
  5",,,,,,,,,,,,
"  11/11/19
  To
  15/11/19","  1
  6
  0",70,"  1
  2
  7","  5
  7
  8",6,"  2
  5
  9","  1
  4
  8",35,"  1
  6
  8","  1
  3
  8",28,"  4
  6
  8","  1
  1
  2",41,"  5
  7
  9",,"  3
  7
  9",91,"  1
  3
  7",,,,,,,,,,,,
"  18/11/19
  To
  22/11/19","  2
  4
  9",57,"  1
  7
  9","  1
  3
  7",10,"  4
  7
  9","  5
  7
  9",13,"  1
  5
  7","  6
  6
  9",15,"  1
  4
  0","  8
  0
  0",83,"  2
  5
  6",,"  6
  7
  7",5,"  1
  5
  9",,,,,,,,,,,,
"  25/11/19
  To
  29/11/19","  2
  7
  7",67,"  2
  6
  9","  1
  2
  7",2,"  7
  7
  8","  6
  6
  8",8,"  1
  7
  0","  3
  5
  7",54,"  3
  4
  7","  2
  5
  7",45,"  7
  8
  0",,"  5
  6
  7",80,"  3
  7
  0",,,,,,,,,,,,
"  02/12/19
  To
  06/12/19","  3
  3
  9",56,"  1
  2
  3","  4
  7
  9",7,"  3
  4
  0","  4
  5
  5",44,"  2
  5
  7","  1
  5
  8",47,"  5
  6
  6","  5
  8
  0",32,"  4
  8
  0",,"  1
  1
  5",78,"  5
  5
  8",,,,,,,,,,,,
"  09/12/19
  To
  13/12/19","  4
  6
  0",0,"  1
  2
  5","  1
  2
  2",53,"  6
  8
  9","  2
  3
  0",52,"  3
  9
  0","  1
  1
  9",16,"  2
  5
  9","  2
  9
  9",8,"  1
  1
  6",,"  7
  7
  9",31,"  4
  7
  0",,,,,,,,,,,,
"  16/12/19
  To
  20/12/19","  4
  9
  0",33,"  1
  2
  0","  2
  3
  9",47,"  2
  6
  9","  3
  9
  9",17,"  2
  7
  8","  3
  4
  7",44,"  2
  3
  9","  3
  4
  4",16,"  1
  7
  8",,"  2
  4
  4",0,"  1
  2
  7",,,,,,,,,,,,
"  23/12/19
  To
  27/12/19","  3
  6
  6",55,"  4
  5
  6","  7
  8
  8",36,"  3
  5
  8","  3
  4
  8",51,"  4
  8
  9","  6
  8
  0",41,"  2
  2
  7","  3
  4
  6",37,"  1
  6
  0",,"  2
  7
  8",71,"  5
  7
  9",,,,,,,,,,,,
"  30/12/19
  To
  03/01/20","  4
  7
  7",84,"  1
  5
  8","  1
  3
  4",80,"  1
  9
  0","  3
  6
  0",93,"  5
  8
  0","  2
  6
  6",48,"  1
  3
  4","  1
  3
  5",90,"  2
  4
  4",,"  2
  4
  9",50,"  2
  8
  0",,,,,,,,,,,,
"  06/01/20
  To
  10/01/20","  1
  6
  8",58,"  2
  3
  3","  2
  8
  0",6,"  3
  6
  7","  1
  5
  8",44,"  1
  4
  9","  3
  4
  5",22,"  6
  7
  9","  3
  8
  0",17,"  4
  5
  8",,"  1
  6
  8",54,"  1
  6
  7",,,,,,,,,,,,
"  13/01/20
  To
  17/01/20","  3
  4
  9",61,"  2
  9
  0","  5
  8
  9",26,"  2
  5
  9","  2
  3
  4",92,"  2
  3
  7","  3
  5
  0",87,"  2
  6
  9","  1
  6
  9",60,"  1
  9
  0",,"  1
  8
  9",89,"  4
  6
  9",,,,,,,,,,,,
"  20/01/20
  To
  24/01/20","  1
  5
  8",43,"  2
  3
  8","  4
  4
  8",67,"  1
  2
  4","  3
  9
  0",20,"  3
  8
  9","  4
  7
  9",9,"  9
  0
  0","  6
  7
  8",12,"  3
  3
  6",,"  2
  3
  0",52,"  2
  5
  6",,,,,,,,,,,,
"  27/01/20
  To
  31/01/20","  1
  2
  8",10,"  5
  7
  8","  4
  5
  7",61,"  5
  6
  0","  4
  9
  0",31,"  5
  7
  9","  8
  9
  0",75,"  3
  5
  7","  2
  2
  7",12,"  1
  5
  6",,"  7
  7
  8",23,"  3
  3
  7",,,,,,,,,,,,
"  03/02/20
  To
  07/02/20","  3
  6
  0",94,"  3
  5
  6","  5
  5
  9",92,"  6
  7
  9","  7
  7
  9",36,"  2
  7
  7","  1
  3
  7",13,"  1
  2
  0","  3
  4
  5",23,"  4
  9
  0",,"  2
  2
  9",30,"  4
  7
  9",,,,,,,,,,,,
"  10/02/20
  To
  14/02/20","  3
  4
  5",28,"  1
  7
  0","  1
  2
  7",1,"  5
  7
  9","  2
  8
  8",87,"  2
  7
  8","  6
  9
  0",53,"  1
  2
  0","  3
  6
  0",93,"  1
  4
  8",,"  1
  3
  6",0,"  1
  2
  7",,,,,,,,,,,,
"  17/02/20
  To
  21/02/20","  1
  8
  9",85,"  4
  5
  6","  1
  6
  8",57,"  5
  5
  7","  5
  9
  0",41,"  1
  3
  7","  3
  5
  8",61,"  3
  8
  0","  5
  7
  7",92,"  6
  8
  8",,"  4
  8
  0",25,"  7
  9
  9",,,,,,,,,,,,
"  24/02/20
  To
  28/02/20","  1
  6
  9",68,"  3
  7
  8","  7
  9
  0",69,"  3
  6
  0","  2
  7
  9",84,"  2
  3
  9","  1
  4
  5",3,"  2
  4
  7","  1
  4
  6",19,"  3
  8
  8",,"  5
  8
  8",19,"  2
  8
  9",,,,,,,,,,,,
"  02/03/20
  To
  06/03/20","  5
  6
  6",71,"  2
  4
  5","  3
  4
  0",74,"  1
  5
  8","  1
  6
  6",31,"  1
  3
  7","  6
  8
  9",36,"  1
  2
  3","  3
  6
  7",60,"  3
  8
  9",,"  4
  7
  8",92,"  6
  7
  9",,,,,,,,,,,,
"  09/03/20
  To
  13/03/20","  4
  0
  0",44,"  1
  5
  8","  *
  *
  *",  ** ,"  *
  *
  *","  7
  9
  0",60,"  4
  6
  0","  5
  8
  9",27,"  1
  6
  0","  3
  3
  8",42,"  1
  3
  8",,"  2
  6
  7",55,"  6
  9
  0",,,,,,,,,,,,
"  16/03/20
  To
  20/03/20","  8
  9
  9",69,"  1
  3
  5","  1
  7
  0",83,"  1
  4
  8","  2
  4
  6",27,"  1
  7
  9","  4
  7
  9",0,"  1
  3
  6","  3
  9
  0",26,"  1
  6
  9",,"  4
  9
  0",37,"  3
  7
  7",,,,,,,,,,,,
"  23/03/20
  To
  27/03/20","  2
  5
  9",64,"  2
  3
  9","  1
  4
  7",20,"  3
  3
  4","  3
  5
  7",55,"  2
  4
  9","  5
  7
  8",6,"  3
  5
  8","  2
  7
  8",72,"  6
  7
  9",,"  4
  7
  0",16,"  2
  7
  7",,,,,,,,,,,,
"  30/03/20
  To
  03/04/20","  1
  2
  0",33,"  6
  8
  9","  1
  3
  4",89,"  1
  9
  9","  2
  4
  8",48,"  4
  5
  9","  1
  7
  9",77,"  1
  8
  8","  6
  8
  0",43,"  1
  6
  6",,"  2
  3
  4",99,"  4
  6
  9",,,,,,,,,,,,
"  06/04/20
  To
  10/04/20","  2
  2
  4",71,"  5
  6
  0","  2
  4
  7",32,"  1
  4
  7","  1
  8
  9",87,"  4
  6
  7","  6
  7
  0",35,"  1
  6
  8","  2
  8
  8",84,"  1
  6
  7",,"  2
  4
  6",28,"  1
  7
  0",,,,,,,,,,,,
"  13/04/20
  To
  17/04/20","  5
  7
  9",15,"  3
  6
  6","  5
  7
  0",25,"  1
  4
  0","  1
  4
  8",32,"  4
  9
  9","  4
  6
  7",72,"  3
  9
  0","  2
  2
  6",4,"  3
  4
  7",,"  1
  3
  8",21,"  1
  4
  6",,,,,,,,,,,,
"  20/04/20
  To
  24/04/20","  1
  6
  8",57,"  1
  6
  0","  2
  5
  5",29,"  2
  2
  5","  1
  2
  0",34,"  1
  4
  9","  2
  6
  9",72,"  4
  9
  9","  2
  8
  8",88,"  1
  7
  0",,"  3
  6
  0",96,"  1
  1
  4",,,,,,,,,,,,
"  27/04/20
  To
  01/05/20","  5
  9
  0",42,"  3
  4
  5","  2
  0
  0",29,"  1
  3
  5","  3
  9
  0",24,"  6
  8
  0","  4
  8
  8",8,"  4
  5
  9","  5
  6
  0",10,"  1
  3
  6",,"  1
  7
  7",54,"  1
  6
  7",,,,,,,,,,,,
"  04/05/20
  To
  08/05/20","  2
  4
  6",24,"  6
  8
  0","  3
  7
  0",9,"  3
  7
  9","  3
  3
  9",53,"  3
  5
  5","  2
  3
  5",6,"  4
  5
  7","  2
  5
  9",65,"  3
  5
  7",,"  1
  4
  8",34,"  5
  9
  0",,,,,,,,,,,,
"  11/05/20
  To
  15/05/20","  1
  5
  0",63,"  3
  3
  7","  2
  4
  4",9,"  3
  6
  0","  3
  9
  0",24,"  5
  9
  0","  4
  4
  0",87,"  2
  6
  9","  2
  9
  9",2,"  1
  4
  7",,"  5
  7
  0",23,"  7
  8
  8",,,,,,,,,,,,
"  18/05/20
  To
  22/05/20","  3
  8
  0",12,"  5
  7
  0","  2
  3
  4",94,"  5
  9
  0","  1
  4
  7",24,"  1
  1
  2","  2
  3
  0",55,"  1
  5
  9","  3
  3
  6",29,"  2
  8
  9",,"  4
  8
  9",18,"  1
  8
  9",,,,,,,,,,,,
"  25/05/20
  To
  29/05/20","  4
  5
  7",67,"  3
  6
  8","  1
  6
  6",38,"  1
  3
  4","  2
  4
  0",64,"  1
  1
  2","  5
  8
  8",17,"  1
  2
  4","  4
  4
  7",58,"  1
  2
  5",,"  2
  8
  8",85,"  5
  0
  0",,,,,,,,,,,,
"  01/06/20
  To
  05/06/20","  1
  3
  0",44,"  3
  3
  8","  2
  4
  0",62,"  4
  8
  0","  1
  1
  4",65,"  1
  6
  8","  1
  5
  7",33,"  1
  2
  0","  1
  5
  0",68,"  1
  7
  0",,"  5
  9
  9",31,"  2
  9
  0",,,,,,,,,,,,
"  08/06/20
  To
  12/06/20","  4
  7
  0",17,"  2
  5
  0","  5
  7
  0",20,"  4
  6
  0","  4
  7
  9",2,"  7
  7
  8","  3
  5
  9",72,"  5
  8
  9","  7
  9
  0",63,"  2
  2
  9",,"  7
  8
  9",48,"  5
  6
  7",,,,,,,,,,,,
"  15/06/20
  To
  19/06/20","  4
  5
  9",86,"  2
  7
   7","  1
  2
  4",79,"  5
  5
  9 ","  3
  5
  9",79,"  3
  6
   0","  1
  3
  6",0,"  5
  6
   7","  3
  3
  8",46,"  8
  8
   0",,"  7
  9
  0",62,"  5
  8
  9",,,,,,,,,,,,
