Date,Mon,Tue,Wed,Thu,Fri,Sat
"04-11-2019
To
09-11-2019","6 
6 
0 
 ","21 ","5
7
9
 ","3 
4 
7 
 ","49 ","5
6
8
 ","7 
8 
0 
 ","53 ","1
3
9
 ","1 
1 
8 
 ","06 ","1
5
0
 ","3 
6 
9 
 ","83 ","3
0
0
 ","1 
2 
3 
 ","69 ","3
7
9
 "
"11-11-2019
To
16-11-2019","3 
3 
7 
 ","35 ","1
5
9
 ","8 
8 
9 
 ","59 ","2
8
9
 ","2 
3 
9 
 ","42 ","2
2
8
 ","1 
4 
6 
 ","14 ","4
5
5
 ","6 
7 
9 
 ","27 ","8
9
0
 ","5 
5 
9 
 ","95 ","1
4
0
 "
"18-11-2019
To
23-11-2019","5 
7 
9 
 ","10 ","1
4
5
 ","6 
7 
9 
 ","29 ","4
5
0
 ","1 
2 
3 
 ","64 ","4
4
6
 ","4 
7 
9 
 ","02 ","1
5
6
 ","1 
6 
7 
 ","44 ","7
8
9
 ","5 
6 
0 
 ","15 ","3
5
7
 "
"25-11-2019
To
30-11-2019","4 
6 
6 
 ","61 ","1
1
9
 ","5 
7 
8 
 ","07 ","4
5
8
 ","9 
0 
0 
 ","97 ","1
2
4
 ","6 
0 
0 
 ","68 ","2
7
9
 ","4 
6 
9 
 ","92 ","1
4
7
 ","2 
3 
0 
 ","57 ","2
6
9
 "
"02-12-2019
To
07-12-2019","1 
2 
4 
 ","73 ","1
5
7
 ","1 
2 
5 
 ","82 ","1
3
8
 ","4 
5 
6 
 ","59 ","2
3
4
 ","5 
8 
9 
 ","21 ","2
2
7
 ","1 
7 
9 
 ","75 ","1
1
3
 ","1 
2 
7 
 ","02 ","1
5
6
 "
"09-12-2019
To
14-12-2019","*
*
* ","** ","*
*
*","2 
6 
9 
 ","77 ","1
6
0
 ","2 
5 
6 
 ","35 ","7
8
0
 ","5 
7 
9 
 ","17 ","3
4
0
 ","2 
0 
0 
 ","29 ","4
7
8
 ","2 
3 
5 
 ","00 ","5
6
9
 "
"16-12-2019
To
21-12-2019","5 
7 
7 
 ","96 ","7
9
0
 ","4 
0 
0 
 ","40 ","5
7
8
 ","5 
7 
8 
 ","01 ","1
4
6
 ","3 
5 
6 
 ","43 ","2
2
9
 ","1 
2 
0 
 ","39 ","4
7
8
 ","6 
7 
7 
 ","00 ","4
6
0
 "
"23-12-2019
To
28-12-2019","2 
3 
0 
 ","58 ","5
6
7
 ","3 
5 
6 
 ","47 ","4
5
8
 ","1 
6 
8 
 ","50 ","1
4
5
 ","1 
2 
5 
 ","87 ","5
5
7
 ","6 
9 
0 
 ","58 ","4
4
0
 ","4 
9 
9 
 ","24 ","2
6
6
 "
"30-12-2019
To
04-01-2020","1 
3 
7 
 ","12 ","1
4
7
 ","2 
5 
7 
 ","44 ","7
8
9
 ","6 
7 
0 
 ","38 ","3
7
8
 ","2 
4 
9 
 ","53 ","3
0
0
 ","4 
5 
0 
 ","95 ","4
5
6
 ","5 
7 
0 
 ","21 ","1
3
7
 "
"06-01-2020
To
11-01-2020","1 
5 
7 
 ","31 ","5
7
9
 ","7 
0 
0 
 ","75 ","2
4
9
 ","1 
6 
9 
 ","62 ","6
7
9
 ","7 
8 
0 
 ","51 ","3
4
4
 ","5 
6 
0 
 ","15 ","2
5
8
 ","1 
3 
3 
 ","76 ","2
5
9
 "
"13-01-2020
To
18-01-2020","2 
2 
3 
 ","76 ","1
5
0
 ","1 
6 
7 
 ","47 ","2
6
9
 ","7 
9 
0 
 ","69 ","1
9
9
 ","1 
5 
6 
 ","20 ","5
6
9
 ","7 
8 
9 
 ","43 ","1
6
6
 ","1 
1 
5 
 ","70 ","4
6
0
 "
"20-01-2020
To
25-01-2020","1 
8 
0 
 ","98 ","5
6
7
 ","1 
4 
0 
 ","53 ","1
3
9
 ","1 
4 
7 
 ","25 ","1
6
8
 ","3 
7 
9 
 ","93 ","1
6
6
 ","2 
4 
9 
 ","51 ","5
7
9
 ","4 
5 
9 
 ","81 ","4
7
0
 "
"27-01-2020
To
01-02-2020","3 
4 
5 
 ","27 ","4
5
8
 ","4 
6 
8 
 ","85 ","1
1
3
 ","5 
7 
0 
 ","27 ","5
5
7
 ","2 
3 
9 
 ","49 ","1
1
7
 ","2 
3 
7 
 ","23 ","1
5
7
 ","1 
8 
8 
 ","73 ","1
5
7
 "
"03-02-2020
To
08-02-2020","4 
8 
9 
 ","12 ","2
0
0
 ","5 
8 
0 
 ","36 ","4
4
8
 ","4 
5 
8 
 ","70 ","1
4
5
 ","2 
2 
8 
 ","27 ","4
6
7
 ","1 
3 
5 
 ","99 ","1
8
0
 ","1 
5 
0 
 ","67 ","2
2
3
 "
